[DEBUG] 2020-10-21 20:04:40.775 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-10-21 20:04:40.779 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-10-21 20:04:40.798 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-10-21 20:04:41.026 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-10-21 20:04:41.035 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-10-21 20:04:41.584 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-10-21 20:04:41.584 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-10-21 20:04:41.601 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-10-21 20:04:42.271 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-10-21 20:04:42.313 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-10-21 20:04:42.315 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-10-21 20:04:42.356 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-10-21 20:04:42.451 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@56f521c6
[DEBUG] 2020-10-21 20:04:42.451 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@56f521c6
[DEBUG] 2020-10-21 20:04:42.451 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@56f521c6
[DEBUG] 2020-10-21 20:04:42.452 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7b7683d4
[DEBUG] 2020-10-21 20:04:42.455 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@76ddd61a
[DEBUG] 2020-10-21 20:04:42.458 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@7942a854
[DEBUG] 2020-10-21 20:04:42.459 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@288214b1
[DEBUG] 2020-10-21 20:04:42.459 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@288214b1
[DEBUG] 2020-10-21 20:04:42.461 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@288214b1
[DEBUG] 2020-10-21 20:04:42.462 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@58cf8f94
